candidate,family,split,samples,raw_exact_accuracy,postprocessed_exact_accuracy,raw_character_accuracy,postprocessed_character_accuracy,raw_cer,postprocessed_cer,p50_latency_ms,p95_latency_ms,throughput_crops_per_sec
ppocr_mobile,PP-OCRv5,legacy_val,147,0.5442,0.6463,0.8294,0.8465,0.1221,0.1064,9.705,16.758,92.549
ppocr_mobile,PP-OCRv5,expanded_val,150,0.5533,0.6533,0.8329,0.8497,0.1196,0.1042,9.57,14.646,100.396
ppocr_mobile,PP-OCRv5,locked_test,178,0.5,0.5787,0.7762,0.7839,0.1604,0.1557,9.679,15.886,96.969
ppocr_server,PP-OCRv5,legacy_val,147,0.6122,0.6463,0.7887,0.7944,0.152,0.147,446.159,631.095,2.21
ppocr_server,PP-OCRv5,expanded_val,150,0.62,0.6533,0.793,0.7986,0.149,0.1441,431.418,558.217,2.317
ppocr_server,PP-OCRv5,locked_test,178,0.5618,0.5787,0.7697,0.7721,0.1646,0.1652,407.874,561.432,2.468
easyocr_rec_only,EasyOCR,legacy_val,147,0.0136,0.0272,0.1956,0.2006,0.3854,0.3769,29.602,62.95,14.648
easyocr_rec_only,EasyOCR,expanded_val,150,0.0267,0.04,0.2056,0.2105,0.379,0.3706,32.238,64.815,25.271
easyocr_rec_only,EasyOCR,locked_test,178,0.0562,0.0618,0.2108,0.2155,0.3896,0.386,28.603,59.487,31.267
