model,model_sha256,images,detector_tp,detector_fp,detector_fn,detector_precision,detector_recall,ocr_matched_detections,ocr_conditional_post_exact_accuracy,ocr_conditional_post_cer,end_to_end_post_exact_accuracy,end_to_end_raw_exact_accuracy,end_to_end_post_cer,latency_ms,fps
models/plate/production/best.pt,8603afbc9ee2c16f99971898ae98211048c01cc6668bc5d5cc46df13d5f9c8ba,143,143,0,0,1.0,1.0,143,0.3287,0.3143,0.3287,0.2168,0.3143,"{'mean': 44.076, 'p50': 28.358, 'p95': 97.062, 'p99': 134.004}",22.688
runs/p11_5/p3-yolo11s-v2-e20-b4-640-r3-clean/weights/best.pt,ede0b69bba65472eff10fc29250f58b352a3a79be73aa1b93f435f8533bac3c1,143,143,0,0,1.0,1.0,143,0.3427,0.2669,0.3427,0.2378,0.2669,"{'mean': 28.215, 'p50': 26.045, 'p95': 36.038, 'p99': 43.147}",35.443
